combination,pairs_count,score,best_weighting,mean_balance,median_balance,std_balance,mean_mdd,worst_mdd,mean_sharpe,mean_sortino,mean_calmar,mean_ulcer,mean_var95,mean_cvar95,mean_omega,mean_cagr,median_cagr,prob_profit,prob_2x,prob_ruin,p5,p50,p95,p99
TRXUSDT + LTCUSDT + BTCUSDT + AVAXUSDT + TONUSDT + DOGEUSDT + HBARUSDT,7,-60.433517555250994,equal,3112.7264780090295,3135.2093275104653,125.5177766611736,-0.6883466774074237,-0.7595572542242781,-269.0632114147758,-296.78176268506235,-1.4532264388426186,0.4546154135299586,-0.0024838146812716524,-0.002991640854569325,0.015148537047957647,-1.0,-1.0,0.0,0.0,1.0,2838.534704950407,3135.2093275104653,3267.9937913905537,3337.5372059624096
TRXUSDT + LTCUSDT + BTCUSDT + AVAXUSDT + TONUSDT + AAVEUSDT + HBARUSDT,7,-64.8872683680313,risk_parity,3536.3954357179146,3563.1559904009882,137.41852695496237,-0.6459896808368336,-0.7325945484888774,-291.6580779448927,-319.32722856542904,-1.548684119472566,0.42104332180489396,-0.002219242930080489,-0.002692220879397297,0.01320713979848658,-1.0,-1.0,0.0,0.0,1.0,3240.429438958249,3563.1559904009882,3688.0272650484844,3724.937585129356
TRXUSDT + LTCUSDT + BTCUSDT + AVAXUSDT + DOGEUSDT + AAVEUSDT + HBARUSDT,7,-56.50957043598798,equal,3687.818618724869,3717.9548439783853,150.04030203463012,-0.6308521019750584,-0.6982133673304465,-239.88519894064515,-277.5432656741343,-1.5860214417117153,0.4089368235418468,-0.00226146592011314,-0.002715497208239611,0.02822143405019164,-1.0,-1.0,0.0,0.0,1.0,3329.325248062087,3717.9548439783853,3858.886144509174,3909.0756956702876
TRXUSDT + LTCUSDT + BTCUSDT + TONUSDT + DOGEUSDT + AAVEUSDT + HBARUSDT,7,-65.54584102656601,risk_parity,3635.3614662657837,3657.6739267552366,127.54761002278913,-0.636073387718013,-0.6981352386204375,-293.03816674585534,-322.68099443152187,-1.5727577786176365,0.4128035871524695,-0.0021734631954362163,-0.0025793286210554537,0.014329571040448371,-1.0,-1.0,0.0,0.0,1.0,3352.3705846918065,3657.6739267552366,3788.1159848184116,3826.4244186124415
TRXUSDT + ARBUSDT + BTCUSDT + AVAXUSDT + TONUSDT + DOGEUSDT + AAVEUSDT,7,-56.59665848808685,equal,3344.2183262213443,3376.534521900263,154.65008357641315,-0.6652171728570825,-0.7246458083530316,-249.17171956736735,-277.7597805155809,-1.5040569603744829,0.43599388612544887,-0.002403415328485683,-0.0030040262533559156,0.01963658858924017,-1.0,-1.0,0.0,0.0,1.0,2987.9632402355583,3376.534521900263,3528.7318638011598,3582.9545180871983
TRXUSDT + LTCUSDT + AVAXUSDT + TONUSDT + DOGEUSDT + AAVEUSDT + HBARUSDT,7,-70.46986079121884,risk_parity,3011.6939824307624,3036.859577751474,133.3174047324657,-0.6984227945724748,-0.7609027298433736,-318.73348929856206,-346.8912795069744,-1.432290852746061,0.46284044653363765,-0.002248096832590414,-0.002732868009698159,0.012070966202180811,-1.0,-1.0,0.0,0.0,1.0,2709.1154938496134,3036.859577751474,3159.9581243794455,3231.4279867857044
TRXUSDT + ARBUSDT + BTCUSDT + AVAXUSDT + TONUSDT + DOGEUSDT + HBARUSDT,7,-61.38099966469404,equal,2850.26705608543,2871.906544548275,123.68488606212897,-0.7146142124568119,-0.776605376805676,-277.35182886437315,-301.32819756774944,-1.3997650222959537,0.47593515991356194,-0.0026410992945704943,-0.0031880637139142017,0.011876893463865109,-1.0,-1.0,0.0,0.0,1.0,2589.6115791033453,2871.906544548275,3006.3783852571837,3038.8492900324263
TRXUSDT + ARBUSDT + BTCUSDT + TONUSDT + DOGEUSDT + AAVEUSDT + HBARUSDT,7,-68.42419200563951,equal,2864.413172628545,2879.30248232144,108.87268271415557,-0.7131956611478947,-0.762136802316408,-312.94843182748133,-336.550011344912,-1.4024603148779842,0.47467529504401595,-0.002582772055717096,-0.0030716166776398887,0.00916029416721547,-1.0,-1.0,0.0,0.0,1.0,2637.8597858852777,2879.30248232144,3000.725451406396,3048.0082814015304
TRXUSDT + ARBUSDT + BTCUSDT + AVAXUSDT + TONUSDT + AAVEUSDT + HBARUSDT,7,-68.33667759793364,equal,2641.482950239468,2663.9977640615134,106.43319422917584,-0.7354840636151208,-0.7775121907551147,-317.7847887002482,-335.94261267583005,-1.3599291556350663,0.4933503095947023,-0.0027176052479201997,-0.0032676507250320127,0.006271947271172108,-1.0,-1.0,0.0,0.0,1.0,2406.792827571235,2663.9977640615134,2767.760942362815,2813.259312502949
TRXUSDT + ARBUSDT + BTCUSDT + AVAXUSDT + DOGEUSDT + AAVEUSDT + HBARUSDT,7,-58.42470476964772,equal,3379.7906731401185,3408.8516560424678,142.86136948168058,-0.6616375256376159,-0.7413666439567241,-254.0672591444182,-286.9242119300155,-1.512081002473255,0.4326909911504092,-0.0024057172930805628,-0.002869685727648913,0.021109527757648947,-1.0,-1.0,0.0,0.0,1.0,3056.7861860295757,3408.8516560424678,3540.699023926515,3620.254364749213
TRXUSDT + ARBUSDT + AVAXUSDT + TONUSDT + DOGEUSDT + AAVEUSDT + HBARUSDT,7,-72.8542976842496,equal,2203.133407811364,2218.648599994431,101.96100764722861,-0.7793753989806298,-0.819916748440372,-326.17855907030787,-358.1570968503726,-1.2832953526641708,0.5321443000231811,-0.002757053092223805,-0.003310094483090474,0.011983623522675098,-1.0,-1.0,0.0,0.0,1.0,1970.9113744301228,2218.648599994431,2334.7873048397605,2382.683061855185
TRXUSDT + BTCUSDT + AVAXUSDT + TONUSDT + DOGEUSDT + AAVEUSDT + HBARUSDT,7,-60.605937924959676,equal,2845.8292627072497,2860.5113438465423,121.53114742660307,-0.715045078624827,-0.773700759566368,-271.8006137559302,-297.44810525252694,-1.3989083185039737,0.47609313570933337,-0.0026546087931344255,-0.003214066099228497,0.013231024237386198,-1.0,-1.0,0.0,0.0,1.0,2578.9237695700976,2860.5113438465423,2994.5408995684224,3047.8330029993285
LTCUSDT + ARBUSDT + BTCUSDT + AVAXUSDT + TONUSDT + DOGEUSDT + AAVEUSDT,7,-65.42766779478266,risk_parity,4230.877383896088,4263.001967430357,167.48150906925946,-0.5765714945853115,-0.6630422544493885,-280.09628793885577,-322.43027169210063,-1.7357792623826507,0.36815465254774826,-0.001956764167487092,-0.0024361853936714865,0.028462533239329353,-1.0,-1.0,0.0,0.0,1.0,3832.1390001256436,4263.001967430357,4414.3849060302355,4460.218090375815
LTCUSDT + ARBUSDT + BTCUSDT + AVAXUSDT + TONUSDT + DOGEUSDT + HBARUSDT,7,-70.0458472064021,equal,3072.5433845004245,3091.0658986117933,123.90634105888178,-0.6923855340783173,-0.7556327855105663,-314.8346524108305,-344.81395841935415,-1.444735080035879,0.4574245028609048,-0.002497455226184523,-0.0030260905402189966,0.01384690389024361,-1.0,-1.0,0.0,0.0,1.0,2809.2159413074605,3091.0658986117933,3232.6200544764242,3267.5963549684475
LTCUSDT + ARBUSDT + BTCUSDT + AVAXUSDT + TONUSDT + AAVEUSDT + HBARUSDT,7,-78.76109118248166,risk_parity,3474.6510142072552,3503.585548136917,143.07559041009998,-0.6521620199972125,-0.7324652174512359,-356.87535096710127,-388.65889181414747,-1.5340731744853109,0.4253199590246206,-0.0022245426399658814,-0.0027211642193507536,0.011591317804983578,-1.0,-1.0,0.0,0.0,1.0,3152.435654028769,3503.585548136917,3640.1684190038,3683.5596686899257
LTCUSDT + ARBUSDT + BTCUSDT + AVAXUSDT + DOGEUSDT + AAVEUSDT + HBARUSDT,7,-66.78944281606888,equal,3649.1057335897235,3667.4564848011714,142.4571788783735,-0.6347212184623153,-0.7131520696113002,-287.48948387206366,-328.9125205540035,-1.5762619094076626,0.41225051394800716,-0.0022687441964220666,-0.0027066514006776022,0.025054194178156595,-1.0,-1.0,0.0,0.0,1.0,3330.7304932354155,3667.4564848011714,3822.9576874165805,3889.681509603473
LTCUSDT + ARBUSDT + BTCUSDT + TONUSDT + DOGEUSDT + AAVEUSDT + HBARUSDT,7,-80.48055887948915,risk_parity,3584.646859750648,3605.1575347010057,130.9277332064619,-0.6411585224033937,-0.7150082077233395,-363.58085865621695,-397.32080953133936,-1.5602994866992563,0.41714394301065955,-0.0021758927285188195,-0.002593934839491817,0.012360590380552079,-1.0,-1.0,0.0,0.0,1.0,3263.3472821692485,3605.1575347010057,3730.1141818967194,3773.7505559864985
LTCUSDT + BTCUSDT + AVAXUSDT + TONUSDT + DOGEUSDT + AAVEUSDT + HBARUSDT,7,-68.74975700093081,equal,3068.498458362313,3090.7364271306437,124.66860796722297,-0.6927830410544648,-0.7463966155005368,-306.6331705841857,-338.3341545999454,-1.4439106561873287,0.4574537118668316,-0.002517091300922119,-0.003076381158207996,0.015485467225556403,-1.0,-1.0,0.0,0.0,1.0,2803.433491174661,3090.7364271306437,3220.8001203564563,3278.607325444407
LTCUSDT + ARBUSDT + AVAXUSDT + TONUSDT + DOGEUSDT + AAVEUSDT + HBARUSDT,7,-88.32450233335248,equal,1335.457624771813,1346.7720585219029,66.71731432941591,-0.8662856530755477,-0.8910991271907565,-392.4847468541042,-434.5468616136754,-1.1544217818428182,0.6193695480347349,-0.0026034106954180495,-0.003122198242393846,0.013863100549007249,-1.0,-1.0,0.0,0.0,1.0,1199.6803524204092,1346.7720585219029,1424.2499584640454,1452.5436285944504
ARBUSDT + BTCUSDT + AVAXUSDT + TONUSDT + DOGEUSDT + AAVEUSDT + HBARUSDT,7,-70.95121509493856,equal,2811.8589835362477,2830.268613439024,118.02220031747287,-0.7184524786924451,-0.7670199020606956,-321.255320004759,-349.1485341513738,-1.3922485971186243,0.47934360892636385,-0.0026658902449786265,-0.003237229050661017,0.011869573812062719,-1.0,-1.0,0.0,0.0,1.0,2522.7224171475364,2830.268613439024,2962.2862965419035,3003.538333950137
TRXUSDT + LTCUSDT + ARBUSDT + BTCUSDT + AVAXUSDT + TONUSDT + DOGEUSDT + AAVEUSDT,8,-61.99256648880436,equal,3620.4215680106513,3637.0261312525176,136.9165727403755,-0.6375956257441688,-0.6941590162603007,-274.22669920410704,-304.9055805642351,-1.5690908319838022,0.41424080730254786,-0.002216522089320116,-0.0026981276467511837,0.017907672720444204,-1.0,-1.0,0.0,0.0,1.0,3301.6187226307416,3637.0261312525176,3783.677135106306,3832.2899263966833
TRXUSDT + LTCUSDT + ARBUSDT + BTCUSDT + AVAXUSDT + TONUSDT + DOGEUSDT + HBARUSDT,8,-65.83230346287837,risk_parity,3619.2703708815984,3644.5311513086476,141.6461012518566,-0.637699285382185,-0.7249924975004289,-297.6238457270464,-324.10119876618626,-1.568876613383456,0.41460534888453004,-0.0021518778944883024,-0.0025956320559542773,0.01172960284099786,-1.0,-1.0,0.0,0.0,1.0,3297.4832361673325,3644.5311513086476,3774.771937810278,3827.2475009835016
